artiste,mouvement
Aimée Brune-Pagès,romantisme
Jan Steen,âge d'or de la peinture néerlandaise
Herman Van Swanevelt,baroque
Gerard Seghers,peinture baroque flamande
Giovanni Lanfranco,baroque
Gustave Courbet,réalisme
Valentin de Boulogne,caravagisme
Valentin de Boulogne,ténébrisme
Léon Cogniet,romantisme
Nélie Jacquemart,académisme
Alphonse Moutte,naturalisme
Louis Anquetin,cloisonnisme
Camille Pissarro,impressionnisme
Camille Pissarro,néo-impressionnisme
Paul-Élie Ranson,symbolisme
Edgard Maxence,symbolisme
Pharaon de Winter,académisme
Armand Leleux,réalisme
Lodovico Carracci,baroque
John Constable,réalisme
John Constable,romantisme
Claude Vignon,baroque
Juan de Valdés Leal,baroque
Annibale Carracci,baroque
Alessandro Turchi,École véronaise
Max Ernst,surréalisme
Max Ernst,Dada
Jean-Baptiste Greuze,rococo
Marie-Élisabeth Blavot,romantisme
Frits Thaulow,impressionnisme
Marie Bashkirtseff,réalisme
Claude Deruet,maniérisme
Auguste Rodin,art moderne
Auguste Rodin,symbolisme
Auguste Rodin,art moderne
Auguste Rodin,symbolisme
Émilie Charmy,fauvisme
Pieter Boel,baroque
Pieter Boel,peinture baroque flamande
Zoran Mušič,École de Paris
Maximilien Luce,pointillisme
Gustave Loiseau,postimpressionnisme
Gustave Loiseau,École de Pont-Aven
Jean-Baptiste Regnault,néo-classicisme
Jean Dubuffet,art brut
Jean Dubuffet,art informel
Denis Foyatier,néo-classicisme
Nathalie Gontcharova,futurisme
Nathalie Gontcharova,Rayonnisme
Eugène Dodeigne,Groupe de Roubaix
Léon Cogniet,romantisme
Arnould de Vuez,baroque
Jean Pillement,rococo
François Boucher,rococo
Paul Baudry,académisme
Moïse Kisling,École de Paris
Antoine Watteau,rococo
Daniel Chodowiecki,rococo
Daniel Chodowiecki,néo-classicisme
Jules Dupré,École de Barbizon
Charles Cottet,symbolisme
Charles Cottet,postimpressionnisme
Gustave Loiseau,postimpressionnisme
Gustave Loiseau,École de Pont-Aven
Rembrandt,âge d'or de la peinture néerlandaise
Peter Klasen,figuration narrative
Ernest Meissonier,académisme
George Desvallières,symbolisme
Émile Jourdan,École de Pont-Aven
Jacob Jordaens,peinture baroque flamande
Jacob Jordaens,baroque
Giorgio Vasari,Renaissance
Paul Vayson,réalisme
Henri-François Riesener,néo-classicisme
Pierre Prins,impressionnisme
Charles Wittmann,impressionnisme
Ferdinand du Puigaudeau,postimpressionnisme
Alfred Dehodencq,orientalisme
Vicente Santaolaria,art figuratif
Vicente Santaolaria,réalisme
Léon Lehmann,fauvisme
Léon Lehmann,École de Paris
Berthe Morisot,impressionnisme
Alexandre Altmann,École de Paris
Maurice Chabas,symbolisme
Jean Cocteau,modernisme
Jean Cocteau,théâtre de l'absurde
Henri-Edmond Cross,néo-impressionnisme
Henri-Edmond Cross,pointillisme
Q157321,Dada
Q157321,surréalisme
Q157321,cubisme
Henri Manguin,postimpressionnisme
Jean Metzinger,cubisme de salon
Jean Metzinger,cubisme
Jacques Grinberg,expressionnisme abstrait
Raymond Legueult,Peintres de la réalité poétique
Raphaël Collin,impressionnisme
Raphaël Collin,naturalisme
Raphaël Collin,symbolisme
Raphaël Collin,académisme
Raphaël Collin,Nu académique
Raphaël Collin,peinture sur le motif
Fernand Cormon,académisme
Toussaint Dubreuil,École de Fontainebleau
Dirck Hals,baroque
Pieter de Hooch,baroque
Pieter de Hooch,âge d'or de la peinture néerlandaise
Frans Hals,baroque
Frans Hals,âge d'or de la peinture néerlandaise
Hendrik Jacobsz Dubbels,baroque
Jean-Baptiste Debret,néo-classicisme
Paulus Potter,baroque
Paulus Potter,École de Delft (peinture)
Louis Monziès,académisme
Marco Palmezzano,Haute Renaissance
Hubert Robert,préromantisme
Giacinto Gimignani,baroque
Françoise Duparc,baroque
Bartolomeo Passarotti,maniérisme
Alberto Pasini,orientalisme
Jacob Jordaens,peinture baroque flamande
Jacob Jordaens,baroque
Alphonse Mucha,Art nouveau
Alphonse Mucha,symbolisme
Cuno Amiet,École de Pont-Aven
Sonia Delaunay,Orphisme
Sonia Delaunay,Simultanéisme
Jacques Stella,classicisme
François Boucher,rococo
Alessandro Magnasco,baroque
Pompeo Batoni,classicisme
Francesco Guardi,rococo
Luca Giordano,baroque
Andrea Mantegna,Renaissance italienne
Ania Staritsky,abstraction lyrique
Giovanni Battista Pittoni,baroque
Giovanni Battista Pittoni,rococo
Andrea di Bartolo,école siennoise
